listing_id,city,state,locality,property_type,area_sqft,builtup_area_sqft,bhk,bathrooms,property_age,year_built,floor,total_floors,furnishing,parking,amenities_count,facing,latitude,longitude,price,price_per_sqft,currency,listing_status,synthetic_data,log_price,location_key
IND-000001,Indore,Madhya Pradesh,Super Corridor,Apartment,1554,1554,3,3,6,2020,2,5,Furnished,1,6,South,22.7224285,75.8102007,6880000,4427.28,INR,Active,True,15.744129,Indore | Super Corridor
IND-000021,Ahmedabad,Gujarat,Gota,Independent House,2074,2074,3,4,15,2011,0,0,Unfurnished,1,8,West,23.065912,72.532772,10270000,4951.78,INR,Active,True,16.144738,Ahmedabad | Gota
IND-000022,Visakhapatnam,Andhra Pradesh,Dwaraka Nagar,Apartment,1170,1170,2,2,11,2015,25,35,Semi-Furnished,2,0,South,17.7154994,83.2909657,4550000,3888.89,INR,Active,True,15.330638,Visakhapatnam | Dwaraka Nagar
IND-000023,Mumbai,Maharashtra,Navi Mumbai,Apartment,1680,1680,3,3,19,2007,17,19,Unfurnished,1,5,South-East,19.033563,73.0298243,26670000,15875.0,INR,Active,True,17.09905,Mumbai | Navi Mumbai
IND-000024,Nagpur,Maharashtra,Manish Nagar,Independent House,2279,2279,4,4,4,2022,0,0,Unfurnished,0,3,North,21.0879096,79.0764363,8070000,3541.03,INR,Active,True,15.903664,Nagpur | Manish Nagar
IND-000025,Chandigarh,Chandigarh,Panchkula,Villa,3170,3170,4,4,24,2002,0,0,Furnished,1,10,North-West,30.7045433,76.8589866,20380000,6429.02,INR,Active,True,16.830065,Chandigarh | Panchkula
IND-000026,Bengaluru,Karnataka,Electronic City,Apartment,1250,1250,2,2,6,2020,9,13,Furnished,2,2,South-West,12.8549869,77.6607212,9320000,7456.0,INR,Active,True,16.047673,Bengaluru | Electronic City
IND-000027,Mumbai,Maharashtra,Bandra,Apartment,1170,1170,2,2,22,2004,21,28,Semi-Furnished,1,5,South,19.0618791,72.8433972,25610000,21888.89,INR,Active,True,17.058493,Mumbai | Bandra
IND-000028,Kolkata,West Bengal,Salt Lake,Independent House,2153,2153,3,4,21,2005,0,0,Semi-Furnished,2,0,South-West,22.606008,88.4549379,10300000,4784.02,INR,Sold,True,16.147655,Kolkata | Salt Lake
IND-000029,Indore,Madhya Pradesh,Super Corridor,Apartment,1571,1571,3,3,9,2017,24,30,Furnished,3,8,West,22.7275099,75.8124801,5540000,3526.42,INR,Active,True,15.527505,Indore | Super Corridor
IND-000030,Kochi,Kerala,Edappally,Apartment,1257,1257,2,2,21,2005,16,25,Semi-Furnished,2,0,North,10.0195327,76.3054651,5750000,4574.38,INR,Active,True,15.564711,Kochi | Edappally
IND-000031,Nagpur,Maharashtra,Hingna,Villa,1670,1670,3,4,15,2011,0,0,Furnished,1,6,North,21.1062331,78.9821997,6200000,3712.57,INR,Sold,True,15.64006,Nagpur | Hingna
IND-000032,Kolkata,West Bengal,Ballygunge,Plot,1849,1849,0,0,1,2025,0,0,Unfurnished,2,9,East,22.5263099,88.3601443,7940000,4294.21,INR,Active,True,15.887424,Kolkata | Ballygunge
IND-000033,Nagpur,Maharashtra,Sadar,Independent House,2066,2066,4,5,17,2009,0,0,Unfurnished,3,11,West,21.1556072,79.0899782,5590000,2705.71,INR,Active,True,15.53649,Nagpur | Sadar
IND-000034,Delhi,Delhi,Rohini,Apartment,1723,1723,3,4,17,2009,9,14,Unfurnished,0,1,South-East,28.7456533,77.047532,14730000,8549.04,INR,Active,True,16.505397,Delhi | Rohini
IND-000035,Ahmedabad,Gujarat,Thaltej,Independent House,2989,2989,5,5,10,2016,0,0,Furnished,0,3,East,23.0458066,72.504005,14170000,4740.72,INR,Active,True,16.466638,Ahmedabad | Thaltej
IND-000036,Chennai,Tamil Nadu,Tambaram,Apartment,1217,1217,2,2,10,2016,18,21,Furnished,1,11,South-East,12.9221482,80.1116109,7580000,6228.43,INR,Active,True,15.841024,Chennai | Tambaram
IND-000037,Visakhapatnam,Andhra Pradesh,Gajuwaka,Apartment,1985,1985,4,4,17,2009,5,10,Furnished,1,6,South-West,17.6886885,83.2066958,8860000,4463.48,INR,Active,True,15.997057,Visakhapatnam | Gajuwaka
IND-000038,Delhi,Delhi,Lajpat Nagar,Independent House,2390,2390,4,5,11,2015,0,0,Furnished,2,9,North-East,28.5663468,77.2409487,22160000,9271.97,INR,Active,True,16.913799,Delhi | Lajpat Nagar
IND-000039,Chennai,Tamil Nadu,Anna Nagar,Independent House,2210,2210,4,4,16,2010,0,0,Furnished,1,9,South,13.0832689,80.2076874,11580000,5239.82,INR,Sold,True,16.26479,Chennai | Anna Nagar
IND-000040,Visakhapatnam,Andhra Pradesh,Seethammadhara,Apartment,2264,2264,4,4,13,2013,12,16,Unfurnished,1,11,North,17.736865,83.2987256,9330000,4121.02,INR,Sold,True,16.048746,Visakhapatnam | Seethammadhara
IND-000041,Mumbai,Maharashtra,Andheri,Apartment,1496,1496,3,3,2,2024,14,19,Unfurnished,0,2,East,19.1149016,72.8445741,37610000,25140.37,INR,Active,True,17.442781,Mumbai | Andheri
IND-000042,Bengaluru,Karnataka,Whitefield,Apartment,1019,1019,2,2,3,2023,13,17,Unfurnished,3,7,East,12.9699478,77.7493866,8470000,8312.07,INR,Active,True,15.952041,Bengaluru | Whitefield
IND-000043,Jaipur,Rajasthan,C-Scheme,Independent House,2462,2462,4,4,5,2021,0,0,Unfurnished,3,2,East,26.9056811,75.8024104,9960000,4045.49,INR,Active,True,16.114088,Jaipur | C-Scheme
IND-000044,Indore,Madhya Pradesh,Super Corridor,Apartment,1519,1519,2,2,8,2018,2,3,Unfurnished,3,12,North-East,22.7323638,75.8102697,5800000,3818.3,INR,Active,True,15.573369,Indore | Super Corridor
IND-000045,Coimbatore,Tamil Nadu,Peelamedu,Apartment,1770,1770,3,3,4,2022,4,9,Semi-Furnished,1,1,North,11.0312325,77.0197611,7010000,3960.45,INR,Active,True,15.762848,Coimbatore | Peelamedu
IND-000046,Kochi,Kerala,Edappally,Independent House,1169,1169,2,2,7,2019,0,0,Unfurnished,0,12,North,10.0255189,76.3003925,4580000,3917.88,INR,Active,True,15.33721,Kochi | Edappally
IND-000047,Nagpur,Maharashtra,Dharampeth,Apartment,643,643,1,1,22,2004,14,23,Semi-Furnished,0,7,South,21.1405911,79.075356,2100000,3265.94,INR,Active,True,14.557448,Nagpur | Dharampeth
IND-000048,Indore,Madhya Pradesh,Vijay Nagar,Apartment,1414,1414,2,3,8,2018,19,20,Semi-Furnished,2,2,North-East,22.754544,75.8918889,6110000,4321.07,INR,Sold,True,15.625437,Indore | Vijay Nagar
IND-000049,Chandigarh,Chandigarh,Sector 17,Villa,1834,1834,3,3,19,2007,0,0,Unfurnished,2,2,North-East,30.7465589,76.7833518,11830000,6450.38,INR,Active,True,16.286149,Chandigarh | Sector 17
IND-000050,Visakhapatnam,Andhra Pradesh,MVP Colony,Independent House,2453,2453,3,3,6,2020,0,0,Unfurnished,1,3,North,17.7356127,83.3250421,9800000,3995.11,INR,Sold,True,16.097893,Visakhapatnam | MVP Colony
IND-000051,Kolkata,West Bengal,New Town,Apartment,2245,2245,4,4,25,2001,25,31,Semi-Furnished,0,3,North-West,22.569682,88.4256854,11650000,5189.31,INR,Active,True,16.270817,Kolkata | New Town
IND-000052,Jaipur,Rajasthan,Tonk Road,Apartment,1006,1006,2,3,4,2022,20,26,Semi-Furnished,0,10,South-West,26.8649585,75.7965644,4890000,4860.83,INR,Sold,True,15.402703,Jaipur | Tonk Road
IND-000053,Jaipur,Rajasthan,Vaishali Nagar,Plot,1012,1012,0,0,5,2021,0,0,Furnished,0,8,North-West,26.9107763,75.7320189,3360000,3320.16,INR,Active,True,15.027452,Jaipur | Vaishali Nagar
IND-000054,Kochi,Kerala,Aluva,Independent House,2279,2279,3,4,17,2009,0,0,Furnished,3,9,West,10.1096873,76.3416751,9920000,4352.79,INR,Active,True,16.110064,Kochi | Aluva
IND-000055,Indore,Madhya Pradesh,Rau,Independent House,1457,1457,2,3,13,2013,0,0,Furnished,1,5,North-East,22.6398836,75.8065435,4610000,3164.04,INR,Active,True,15.343739,Indore | Rau
IND-000056,Kochi,Kerala,Edappally,Apartment,1684,1684,3,4,8,2018,24,30,Unfurnished,0,10,North-West,10.0293972,76.3104465,7310000,4340.86,INR,Sold,True,15.804754,Kochi | Edappally
IND-000057,Pune,Maharashtra,Hinjewadi,Apartment,1112,1112,2,2,0,2026,17,25,Unfurnished,2,5,North,18.5907264,73.7420727,8330000,7491.01,INR,Active,True,15.935374,Pune | Hinjewadi
IND-000058,Ahmedabad,Gujarat,Thaltej,Apartment,1627,1627,3,3,0,2026,23,26,Semi-Furnished,3,6,East,23.0534483,72.5076125,10480000,6441.3,INR,Active,True,16.164979,Ahmedabad | Thaltej
IND-000059,Delhi,Delhi,Rohini,Independent House,3029,3029,5,5,11,2015,0,0,Unfurnished,2,6,North-West,28.7566363,77.0582949,25650000,8468.14,INR,Active,True,17.060054,Delhi | Rohini
IND-000060,Bengaluru,Karnataka,Whitefield,Apartment,1207,1207,2,3,22,2004,5,5,Semi-Furnished,2,4,South,12.9742347,77.7488844,9280000,7688.48,INR,Active,True,16.043372,Bengaluru | Whitefield
IND-000061,Kolkata,West Bengal,Ballygunge,Apartment,2218,2218,4,4,24,2002,9,11,Unfurnished,1,5,South-West,22.5288168,88.3703368,10500000,4733.99,INR,Sold,True,16.166886,Kolkata | Ballygunge
IND-000062,Nagpur,Maharashtra,Wardha Road,Apartment,1349,1349,2,2,21,2005,6,7,Furnished,0,10,North,21.0825046,79.0501629,5030000,3728.69,INR,Active,True,15.430931,Nagpur | Wardha Road
IND-000063,Pune,Maharashtra,Hadapsar,Independent House,1839,1839,3,4,8,2018,0,0,Unfurnished,2,5,South-West,18.5097565,73.9306152,9200000,5002.72,INR,Active,True,16.034714,Pune | Hadapsar
IND-000064,Delhi,Delhi,Lajpat Nagar,Independent House,1762,1762,3,3,21,2005,0,0,Semi-Furnished,1,1,North-West,28.5662536,77.2502832,16070000,9120.32,INR,Active,True,16.592465,Delhi | Lajpat Nagar
IND-000065,Bengaluru,Karnataka,Yelahanka,Apartment,1603,1603,3,3,6,2020,13,14,Semi-Furnished,0,7,East,13.0912594,77.5984764,10430000,6506.55,INR,Sold,True,16.160197,Bengaluru | Yelahanka
IND-000066,Indore,Madhya Pradesh,Vijay Nagar,Apartment,1513,1513,3,4,23,2003,21,26,Semi-Furnished,3,11,South-West,22.7453127,75.8904665,5700000,3767.35,INR,Active,True,15.555977,Indore | Vijay Nagar
IND-000067,Indore,Madhya Pradesh,Palasia,Apartment,910,910,2,2,24,2002,12,12,Unfurnished,1,11,South,22.7234931,75.8597318,3180000,3494.51,INR,Active,True,14.972392,Indore | Palasia
IND-000068,Mumbai,Maharashtra,Navi Mumbai,Independent House,1574,1574,3,4,16,2010,0,0,Furnished,1,6,East,19.0344059,73.0195736,25690000,16321.47,INR,Active,True,17.061612,Mumbai | Navi Mumbai
IND-000069,Mumbai,Maharashtra,Bandra,Villa,2891,2891,4,4,8,2018,0,0,Furnished,1,10,North-West,19.0596203,72.8272687,95330000,32974.75,INR,Active,True,18.372855,Mumbai | Bandra
IND-000070,Kochi,Kerala,Marine Drive,Apartment,1040,1040,2,2,21,2005,10,14,Unfurnished,1,2,East,9.9944419,76.2854941,4090000,3932.69,INR,Active,True,15.224056,Kochi | Marine Drive
IND-000071,Ahmedabad,Gujarat,Chandkheda,Independent House,2119,2119,3,3,6,2020,0,0,Unfurnished,1,10,South-West,23.1172038,72.5831992,10780000,5087.31,INR,Active,True,16.193203,Ahmedabad | Chandkheda
IND-000072,Ahmedabad,Gujarat,Satellite,Apartment,1843,1843,3,3,9,2017,21,21,Unfurnished,0,4,North-West,23.0290919,72.5168351,9550000,5181.77,INR,Active,True,16.072052,Ahmedabad | Satellite
IND-000073,Nagpur,Maharashtra,Sadar,Apartment,1069,1069,2,2,15,2011,20,22,Furnished,2,1,South-West,21.1658678,79.0794885,3720000,3479.89,INR,Active,True,15.129234,Nagpur | Sadar
IND-000074,Kochi,Kerala,Aluva,Apartment,1258,1258,2,2,14,2012,6,16,Semi-Furnished,0,4,North-East,10.1032665,76.3507397,6100000,4848.97,INR,Active,True,15.623799,Kochi | Aluva
IND-000075,Delhi,Delhi,Rohini,Apartment,1932,1932,3,3,4,2022,18,20,Furnished,1,10,North-West,28.7453013,77.0507699,24570000,12717.39,INR,Active,True,17.017037,Delhi | Rohini
IND-000076,Jaipur,Rajasthan,Vaishali Nagar,Villa,1962,1962,3,3,15,2011,0,0,Semi-Furnished,2,6,North-West,26.9014241,75.7404706,9370000,4775.74,INR,Active,True,16.053024,Jaipur | Vaishali Nagar
IND-000077,Delhi,Delhi,Saket,Independent House,1983,1983,3,4,24,2002,0,0,Furnished,2,4,South,28.523975,77.1942658,16780000,8461.93,INR,Active,True,16.635698,Delhi | Saket
IND-000078,Ahmedabad,Gujarat,Bopal,Plot,912,912,0,0,24,2002,0,0,Furnished,2,1,North,23.0380526,72.4564515,3270000,3585.53,INR,Sold,True,15.000301,Ahmedabad | Bopal
IND-000079,Chennai,Tamil Nadu,Porur,Apartment,1237,1237,2,3,12,2014,7,8,Furnished,2,2,North-East,13.043015,80.1574519,7470000,6038.8,INR,Active,True,15.826406,Chennai | Porur
IND-000080,Indore,Madhya Pradesh,Super Corridor,Villa,4382,4382,5,6,12,2014,0,0,Furnished,2,10,North-West,22.73797,75.8120845,20240000,4618.9,INR,Sold,True,16.823171,Indore | Super Corridor
IND-000081,Pune,Maharashtra,Wakad,Independent House,1088,1088,2,3,13,2013,0,0,Furnished,1,4,North-West,18.5967867,73.7634744,5990000,5505.51,INR,Active,True,15.605602,Pune | Wakad
IND-000082,Bengaluru,Karnataka,HSR Layout,Plot,1873,1873,0,0,18,2008,0,0,Semi-Furnished,0,12,East,12.9075391,77.6400956,9460000,5050.72,INR,Sold,True,16.062583,Bengaluru | HSR Layout
IND-000083,Mumbai,Maharashtra,Thane,Independent House,1916,1916,3,4,15,2011,0,0,Furnished,3,4,North-East,19.2158103,72.9662149,36250000,18919.62,INR,Active,True,17.40595,Mumbai | Thane
IND-000084,Coimbatore,Tamil Nadu,Gandhipuram,Villa,2036,2036,3,4,10,2016,0,0,Furnished,1,9,North-West,11.019294,76.9457566,7240000,3555.99,INR,Active,True,15.795132,Coimbatore | Gandhipuram
IND-000085,Kochi,Kerala,Vyttila,Apartment,572,572,1,1,11,2015,20,24,Semi-Furnished,0,5,South-West,9.9762637,76.3115627,2900000,5069.93,INR,Active,True,14.880222,Kochi | Vyttila
IND-000086,Kochi,Kerala,Vyttila,Apartment,1152,1152,2,3,4,2022,24,33,Unfurnished,1,1,North-West,9.9759044,76.3226668,5130000,4453.12,INR,Sold,True,15.450616,Kochi | Vyttila
IND-000087,Mumbai,Maharashtra,Thane,Plot,3009,3009,0,0,12,2014,0,0,Furnished,1,5,North,19.2234858,72.9708453,38090000,12658.69,INR,Active,True,17.455462,Mumbai | Thane
IND-000088,Pune,Maharashtra,Viman Nagar,Apartment,814,814,1,2,19,2007,4,9,Furnished,2,4,North,18.562161,73.9108214,5400000,6633.91,INR,Active,True,15.50191,Pune | Viman Nagar
IND-000089,Lucknow,Uttar Pradesh,Indira Nagar,Apartment,1505,1505,3,3,18,2008,17,27,Unfurnished,0,11,East,26.8795843,81.0180749,6360000,4225.91,INR,Sold,True,15.665539,Lucknow | Indira Nagar
IND-000090,Jaipur,Rajasthan,Vaishali Nagar,Villa,2423,2423,4,4,18,2008,0,0,Unfurnished,3,12,West,26.8965945,75.74146,9810000,4048.7,INR,Active,True,16.098913,Jaipur | Vaishali Nagar
IND-000091,Coimbatore,Tamil Nadu,Gandhipuram,Apartment,1444,1444,3,3,14,2012,10,17,Furnished,1,2,East,11.0141663,76.9483042,6040000,4182.83,INR,Active,True,15.613915,Coimbatore | Gandhipuram
IND-000092,Indore,Madhya Pradesh,Scheme 78,Apartment,511,511,1,1,20,2006,20,29,Semi-Furnished,1,11,South-West,22.7487616,75.900726,1530000,2994.13,INR,Active,True,14.240779,Indore | Scheme 78
IND-000093,Jaipur,Rajasthan,Jagatpura,Independent House,1980,1980,3,4,22,2004,0,0,Furnished,1,0,North-East,26.8254489,75.8563504,8660000,4373.74,INR,Active,True,15.974225,Jaipur | Jagatpura
IND-000094,Indore,Madhya Pradesh,Rau,Apartment,1070,1070,2,2,13,2013,24,31,Unfurnished,1,9,South-West,22.6370151,75.8072537,3640000,3401.87,INR,Active,True,15.107495,Indore | Rau
IND-000095,Pune,Maharashtra,Wakad,Plot,2974,2974,0,0,20,2006,0,0,Furnished,1,8,North-West,18.6013618,73.7624557,12650000,4253.53,INR,Sold,True,16.353168,Pune | Wakad
IND-000096,Mumbai,Maharashtra,Bandra,Apartment,896,896,1,1,25,2001,16,21,Semi-Furnished,2,12,South-West,19.0500807,72.8303599,18130000,20234.38,INR,Active,True,16.713079,Mumbai | Bandra
IND-000097,Kochi,Kerala,Marine Drive,Independent House,2920,2920,4,4,21,2005,0,0,Unfurnished,2,8,South,9.9821524,76.2691782,11950000,4092.47,INR,Active,True,16.296242,Kochi | Marine Drive
IND-000098,Visakhapatnam,Andhra Pradesh,Seethammadhara,Apartment,1161,1161,2,2,11,2015,19,20,Unfurnished,3,8,West,17.7347453,83.2975851,4070000,3505.6,INR,Active,True,15.219154,Visakhapatnam | Seethammadhara
IND-000099,Mumbai,Maharashtra,Navi Mumbai,Apartment,1230,1230,2,2,12,2014,5,15,Furnished,0,5,North-East,19.0364743,73.0201715,20670000,16804.88,INR,Active,True,16.844194,Mumbai | Navi Mumbai
IND-000100,Nagpur,Maharashtra,Sadar,Apartment,1148,1148,2,2,22,2004,3,10,Unfurnished,3,3,North-East,21.1508069,79.0800959,3210000,2796.17,INR,Sold,True,14.981782,Nagpur | Sadar
IND-000101,Kochi,Kerala,Aluva,Apartment,1104,1104,2,2,22,2004,18,22,Semi-Furnished,2,5,North,10.1080875,76.3483041,5180000,4692.03,INR,Sold,True,15.460316,Kochi | Aluva
IND-000102,Indore,Madhya Pradesh,Scheme 78,Apartment,1316,1316,2,3,25,2001,8,13,Unfurnished,3,5,North,22.7496144,75.8894205,3410000,2591.19,INR,Active,True,15.042223,Indore | Scheme 78
IND-000103,Nagpur,Maharashtra,Manish Nagar,Apartment,1485,1485,3,3,23,2003,4,4,Furnished,3,6,East,21.0823548,79.0614577,4890000,3292.93,INR,Active,True,15.402703,Nagpur | Manish Nagar
IND-000104,Delhi,Delhi,Mayur Vihar,Apartment,2078,2078,3,3,20,2006,2,6,Unfurnished,0,2,North-West,28.6146031,77.2979668,14340000,6900.87,INR,Sold,True,16.478563,Delhi | Mayur Vihar
IND-000105,Jaipur,Rajasthan,Malviya Nagar,Independent House,1742,1742,3,4,4,2022,0,0,Furnished,1,5,North,26.8580196,75.8031236,8020000,4603.9,INR,Active,True,15.897449,Jaipur | Malviya Nagar
IND-000106,Mumbai,Maharashtra,Thane,Plot,1027,1027,0,0,19,2007,0,0,Furnished,2,5,North-West,19.2233812,72.979828,11040000,10749.76,INR,Active,True,16.217036,Mumbai | Thane
IND-000107,Chandigarh,Chandigarh,Sector 34,Apartment,1848,1848,3,4,4,2022,2,4,Semi-Furnished,3,6,South,30.7308493,76.7610715,14600000,7900.43,INR,Active,True,16.496532,Chandigarh | Sector 34
IND-000108,Kolkata,West Bengal,Salt Lake,Apartment,1189,1189,2,2,12,2014,9,9,Unfurnished,1,7,South,22.5949451,88.4547885,6580000,5534.06,INR,Active,True,15.699545,Kolkata | Salt Lake
IND-000109,Visakhapatnam,Andhra Pradesh,Seethammadhara,Villa,3106,3106,4,4,21,2005,0,0,Semi-Furnished,2,5,East,17.745667,83.3025707,11980000,3857.05,INR,Active,True,16.298749,Visakhapatnam | Seethammadhara
IND-000110,Coimbatore,Tamil Nadu,Peelamedu,Plot,1059,1059,0,0,23,2003,0,0,Furnished,1,5,South,11.023938,77.0166979,2970000,2804.53,INR,Active,True,14.904073,Coimbatore | Peelamedu
IND-000111,Indore,Madhya Pradesh,Scheme 78,Apartment,1301,1301,2,2,9,2017,10,17,Furnished,2,10,South-West,22.7383574,75.8965928,6560000,5042.28,INR,Active,True,15.696501,Indore | Scheme 78
IND-000112,Visakhapatnam,Andhra Pradesh,MVP Colony,Apartment,1654,1654,3,4,2,2024,13,23,Unfurnished,3,11,South,17.7350649,83.3228495,6590000,3984.28,INR,Sold,True,15.701064,Visakhapatnam | MVP Colony
IND-000113,Mumbai,Maharashtra,Bandra,Independent House,2374,2374,3,3,20,2006,0,0,Unfurnished,1,6,South-East,19.0596771,72.8389797,40530000,17072.45,INR,Active,True,17.517553,Mumbai | Bandra
IND-000114,Coimbatore,Tamil Nadu,Singanallur,Independent House,2834,2834,4,5,19,2007,0,0,Semi-Furnished,2,10,South-West,11.0105684,77.0301734,9130000,3221.59,INR,Sold,True,16.027076,Coimbatore | Singanallur
IND-000115,Chennai,Tamil Nadu,Tambaram,Apartment,1886,1886,3,3,20,2006,17,22,Semi-Furnished,0,6,South-East,12.9252479,80.0927237,9310000,4936.37,INR,Active,True,16.0466,Chennai | Tambaram
IND-000116,Coimbatore,Tamil Nadu,Singanallur,Plot,2645,2645,0,0,14,2012,0,0,Semi-Furnished,1,11,North-East,10.9992773,77.0321469,6700000,2533.08,INR,Active,True,15.717618,Coimbatore | Singanallur
IND-000117,Mumbai,Maharashtra,Andheri,Apartment,693,693,1,1,25,2001,14,22,Unfurnished,1,12,West,19.1220846,72.8408321,13330000,19235.21,INR,Active,True,16.405528,Mumbai | Andheri
IND-000118,Lucknow,Uttar Pradesh,Indira Nagar,Villa,1778,1778,3,4,20,2006,0,0,Unfurnished,2,0,West,26.8839574,81.0311774,7010000,3942.63,INR,Active,True,15.762848,Lucknow | Indira Nagar
IND-000119,Pune,Maharashtra,Kharadi,Apartment,2354,2354,4,4,0,2026,16,20,Unfurnished,0,12,East,18.5418229,73.9596777,19200000,8156.33,INR,Active,True,16.770421,Pune | Kharadi
IND-000120,Kochi,Kerala,Marine Drive,Apartment,2409,2409,4,4,18,2008,6,6,Furnished,3,11,South-West,9.9806118,76.2688568,10920000,4533.0,INR,Active,True,16.206107,Kochi | Marine Drive
IND-000121,Delhi,Delhi,Dwarka,Independent House,2353,2353,4,4,21,2005,0,0,Semi-Furnished,0,10,West,28.586166,77.0399504,24300000,10327.24,INR,Sold,True,17.005987,Delhi | Dwarka
IND-000122,Indore,Madhya Pradesh,Vijay Nagar,Independent House,1689,1689,3,3,16,2010,0,0,Semi-Furnished,1,8,North-West,22.7533918,75.9002335,4970000,2942.57,INR,Active,True,15.418931,Indore | Vijay Nagar
IND-000123,Kochi,Kerala,Edappally,Independent House,1716,1716,3,4,22,2004,0,0,Furnished,0,2,North,10.0278512,76.3077654,5730000,3339.16,INR,Active,True,15.561226,Kochi | Edappally
IND-000124,Kochi,Kerala,Edappally,Apartment,2480,2480,4,4,19,2007,17,22,Semi-Furnished,1,12,South-East,10.0245391,76.3072028,10600000,4274.19,INR,Active,True,16.176365,Kochi | Edappally
